channel,clockSkewed,defaultBrowser,dnt,hasFlash,locale,received,score,searchEngine,series,silverlight,version,usingNonIncludedSearchEngine
beta,0,1,1,1,en-us,2015-11-28 10:11:58,5,google,43,1,43.0,0
release,0,1,1,1,en-gb,2015-11-28 10:18:44,5,google,42,0,42.0,0
nightly,0,0,0,1,en-us,2015-11-28 10:20:16,5,google,45,1,45.0a1,0
release,0,0,0,0,en-us,2015-11-28 10:23:18,5,other,41,0,41.0.2,1
beta,0,0,0,1,en-us,2015-11-28 10:23:53,5,google,43,0,43.0,0
aurora,0,1,0,1,en-us,2015-11-28 10:25:29,5,google,44,1,44.0a2,0
aurora,0,1,1,1,en-us,2015-11-28 10:26:34,4,google,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-11-28 10:27:29,5,google,43,1,43.0,0
aurora,0,0,0,1,en-us,2015-11-28 10:36:30,4,google,44,1,44.0a2,0
release,0,0,0,1,en-us,2015-11-28 10:58:43,5,other,42,0,42.0,1
release,0,1,0,1,en-gb,2015-11-28 11:23:10,5,google,42,0,42.0,0
release,0,1,0,1,en-us,2015-11-28 11:41:41,5,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-11-28 11:51:53,1,other,43,0,43.0,1
release,0,1,0,1,en-us,2015-11-28 12:23:10,5,yahoo,42,1,42.0,0
beta,0,1,1,1,en-us,2015-11-28 12:28:20,4,google,43,1,43.0,0
release,0,1,0,0,en-us,2015-11-28 12:44:17,5,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-11-28 12:52:20,4,bing,43,0,43.0,0
beta,0,0,0,1,en-us,2015-11-28 12:53:35,1,google,43,1,43.0,0
aurora,0,1,0,0,en-us,2015-11-28 13:03:00,5,google,44,0,44.0a2,0
beta,0,1,1,1,en-us,2015-11-28 13:31:00,2,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-11-28 13:47:31,5,google,42,1,42.0,0
release,0,1,1,1,en-us,2015-11-28 13:52:36,5,other,42,0,42.0,1
nightly,0,1,1,1,en-us,2015-11-28 13:55:10,3,other,45,0,45.0a1,1
beta,0,1,1,1,en-us,2015-11-28 14:22:41,5,other,43,0,43.0,1
beta,0,0,0,1,en-us,2015-11-28 14:34:41,5,google,43,0,43.0,0
beta,0,1,0,0,en-us,2015-11-28 14:39:46,5,google,43,1,43.0,0
release,0,1,0,1,en-gb,2015-11-28 15:24:53,5,yahoo-en-GB,42,1,42.0,0
